name,priceReg,priceSale,ratingAvg,ratingCnt,category,keywords
Lunya_ cozy Pima-alpaca pullover,,,,,,
Lunya_ the robe,,,,,,
HATCH_ Cecile sweater,,,,,,
HATCH_ Robin dress,,,,,,
Shepherd of Sweden_ Jon slippers,,,,,,
Lunya_ Restore pocket dress,,,,,,
Lunya_ washable silk slip dress,,,,,,
Cocobelle_ Sari sandals,,,,,,
Paravel_ see-all vanity case,,,,,,
Craighill_ eyewear stand,$68.00 ,,,,,
Craighill_ pen rest,$35.00 ,,,,,
Craighill_ steel desk knife,$75.00 ,,,,,
lemlem Neela bandeau top,,,,,,
Petite Plume_ men's classic flannel pajama set in gingham,$94.00 ,,,,,
Petite Plume_ women's Pima cotton long-sleeve short set with piping,,,,,,
Beyond Yoga_ spacedye focus crop tank,,,,,,
STATE Bags Lorimer kids' fanny pack,,,,,,
STATE Bags Kane kids' backpack,,,,,,
STATE Bags Kane kids' mini travel backpack,$83.00 ,,,,,
Girls' minnow_ puff-sleeve smocked one-piece,,,,,,
OLIPHANT_ belted puff-sleeve dress,,,,,,
Petite Plume_ kids' summer romper,,,5,1,baby,"Multi Color,Twill,Classic & Minimalist,Casual,Cotton,Collared,Beach,Short Sleeve,Gingham,Onesie"
TOT A PORTER_ babies' knitted two-piece set with corduroy neckline,,,,,baby,
Brushies book set,,,,,baby,
Erbaviva_ baby butter,,,,,baby,
Rookie Humans_ squirrel toddler comforter,,,,,baby,
Rookie Humans_ woodland dreams crib sheet,,,,,baby,
iloveplum_ b.f.f. tutu dress,,,,,baby,
Petite Hailey_ Star Sha tutu dress,,,,,baby,
Petite Hailey_ Melo Sha onesie,,,,,baby,
Baby girls' Childrenchic_ smock dress gift set,,,,,baby,
Patt'touch baby Lou Derby shoes,,,,,baby,
Patt'touch baby Alienore Charles IX shoes,,,,,baby,
Patt'touch baby Ange Derby shoes,,,,,baby,
Patt'touch toddler D_sir_ Derby shoes,,,,,baby,
everbloom_ toddler fuzzy pom-pom headband,,,,,baby,
Bokk Baby bamboo baby blanket,,,,,baby,
Les Gamins ribbed bodysuit,,,,,baby,
mabo organic cotton pajama set,,,,,baby,
mabo organic cotton tank,,,,,baby,
sasha + lucca crewneck tee,,,,,baby,
sasha + lucca pant,,,,,baby,
Bombas four-pack of socks,,,,,boys,
Kids' adjustable garment-dyed baseball hat,,,2,7,boys,
Kids' knit beanie in camo,,,,,boys,
Kids' sunglasses with blue lenses,,,,,boys,
Kids' sunglasses with frosted ombr_ lenses,,,1,2,boys,
Kids' camo-print pencil case,,,,,boys,
Kids' STATE Bags Rodgers lunch box,,,,,boys,
Boys' belt in star print,,,,,boys,
Smathers & Branson yellow Lab boys' belt,,,,,boys,
Kids' fabric mask and sunglasses cord,,,1,2,boys,
Kids' pack-of-two printed nonmedical face masks,,,,,boys,
Bling2o_ boys' dino-mite prehistoric times goggles,,,,,boys,
Bling2o_ boys' lava lamp swim mask,$34.95 ,,,,boys,
Kids' Bling2o_ Shake It Up goggles,,,,,boys,
Kids' glow-in-the-dark skateboarding skeleton iron-on critter patch,,,,,boys,
Kids' Sunnylife_ Dive Buddies seahorse and unicorn,,,,,boys,
Kids' flapjack hat with sherpa lining,,,,,boys,
Kids' shark mittens,,,,,boys,
Kids' wool-blend Fair Isle beanie,,,,,boys,
Boys' ankle socks three-pack in home run,,,,,boys,
Boys' ankle socks three-pack,,,,,boys,
Boys' athletic ankle socks three-pack in stripe,,,,,boys,
Boys' Bombas ankle socks four-pack in colorblock,,,,,boys,
Boys' holiday-print trouser socks three-pack,,,,,boys,
Kids' athletic socks three-pack in stripe,,,,,boys,
Kids' everyday socks three-pack,$24.50 ,,,,boys,"Light,Neutral,Set,Classic & Minimalist,Casual,Crew,Solid,Piping,Mid Calf,Cotton,White,Elastane"
Kids' waffle-knit trouser socks three-pack,,,,,boys,
Kids' trouser socks three-pack,$29.50 ,$26.99 ,,,boys,"Colorblock,Casual,Graphics,Set,Multi Color,Crew,Above Mid Calf,Boho Chic"
Kids' aviator blue-light glasses,,,,,boys,
Kids' tortoise shell aviator sunglasses,$24.50 ,$19.99 ,,,boys,"Full Rim,Casual,Boho Chic,Tortoise,Gray,Polycarbonate,Aviator,Multi Color,Dark,Neutral"
Boys' bow tie in gingham,,,,,boys,
Boys' bow tie in rainbow gingham,,,,,boys,
Boys' silk bow tie in lightning bolts,,,,,boys,
Boys' seersucker bow tie,$39.50 ,$30.99 ,,,boys,"Multi Color,Classic & Minimalist,Stripes,Bowtie,Pre Tied"
Boys' cotton tie in floral,,,,,boys,
Boys' silk tie in old-school stripe,,,,,boys,
Boys' tie in green plaid,,,,,boys,
Boys' tie in Liberty_ print,,,,,boys,
Boys' tie in patchwork plaid,,,,,boys,
Boys' tie in Stewart plaid,,,5,1,boys,
Boys' slide sandals with Velcro_,$39.50 ,,,,boys,"Classic & Minimalist,Flat,Neutral,Dark,Navy,Solid,Round Toe,Pool,Low Top,Slides,Open Toe,Slip-Ons"
Kids' Merrell_ Hydro 2 sandals,,,,,boys,"Caged Front,Boho Chic,Navy,Low Top,Round Toe,Flat,Dark,Neutral,Bumper Toe,Casual,Fisherman,Velcro Closure"
Boys' tech dock pant,,,3,3,boys,
Boys' packable quilted jacket with eco-friendly PrimaLoft_ in buffalo check,,,3,2,boys,
Kids' puffer jacket with eco-friendly PrimaLoft_,,,3,6,boys,
Kids' puffer jacket with PrimaLoft_,,,4,3,boys,
Kids' athletic full-zip hoodie,,,,,boys,"Neutral,Dark,Relaxed,At Hip,Long Sleeve,Windbreaker,Chic,Navy,Colorblock,Casual,Hoodie,Front Zip"
Boys' reversible puffer sherpa-lined vest,,,,,boys,
Boys' topcoat in stadium-cloth wool,,,4,1,boys,
Boys' dock short in chambray,,,,,boys,
Kids' short-sleeve chambray button-down,$45.00 ,$26.50 ,5,1,boys,"Boho Chic,Casual,High Neck,Marled,Button Down,Chambray,Short Sleeve,Cotton,Collared,Light,Blue"
Kids' carpenter jean in medium indigo wash,,$32.50 ,,,boys,"Straight,Faded/Sandwash,Mid Rise,Full,Casual,Five Pocket,Fly Zip,Boho Chic,Regular,Medium Blue"
